idx,product_name,url,crawl_status,image_count,image_status,image_types,print_area_status,spec_count,spec_status,spec_keys,crawled_at,json_path
417,220g 크림용기,http://chungjinkorea.com/kr/product/view.php?idx=417,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:47:36.028959,products/idx_417.json
418,300g 크림용기,http://chungjinkorea.com/kr/product/view.php?idx=418,성공,3,성공,"additional_2,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T02:48:28.400684,products/idx_418.json
419,400g 크림용기,http://chungjinkorea.com/kr/product/view.php?idx=419,성공,3,성공,"additional_2,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T02:51:46.148614,products/idx_419.json
420,500g 크림용기,http://chungjinkorea.com/kr/product/view.php?idx=420,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:49:13.265397,products/idx_420.json
421,50g 헤비크림용기,http://chungjinkorea.com/kr/product/view.php?idx=421,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:51:23.208096,products/idx_421.json
422,80g 헤비크림용기,http://chungjinkorea.com/kr/product/view.php?idx=422,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:52:58.954939,products/idx_422.json
423,50g 헤비크림용기,http://chungjinkorea.com/kr/product/view.php?idx=423,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:52:28.946193,products/idx_423.json
424,100g 헤비크림용기,http://chungjinkorea.com/kr/product/view.php?idx=424,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:52:09.254382,products/idx_424.json
425,100g 헤비크림용기,http://chungjinkorea.com/kr/product/view.php?idx=425,성공,3,성공,"additional_2,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T02:49:43.754845,products/idx_425.json
487,300g 크림브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=487,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:50:52.258929,products/idx_487.json
490,660g 크림브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=490,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:50:04.118217,products/idx_490.json
491,450g 크림브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=491,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:47:27.771670,products/idx_491.json
776,270g 크림사출용기,http://chungjinkorea.com/kr/product/view.php?idx=776,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T02:49:04.904451,products/idx_776.json
777,450g 크림사출용기,http://chungjinkorea.com/kr/product/view.php?idx=777,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:52:49.184312,products/idx_777.json
779,100g 크림사출용기,http://chungjinkorea.com/kr/product/view.php?idx=779,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:51:02.624571,products/idx_779.json
780,120g 크림사출용기,http://chungjinkorea.com/kr/product/view.php?idx=780,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T02:52:19.752926,products/idx_780.json
781,500g 크림사출용기,http://chungjinkorea.com/kr/product/view.php?idx=781,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:49:23.513176,products/idx_781.json
782,250g 크림사출용기,http://chungjinkorea.com/kr/product/view.php?idx=782,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:48:57.301187,products/idx_782.json
783,300g 크림사출용기,http://chungjinkorea.com/kr/product/view.php?idx=783,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:51:33.726758,products/idx_783.json
784,500g 크림사출용기,http://chungjinkorea.com/kr/product/view.php?idx=784,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:47:52.333075,products/idx_784.json
785,15g 크림사출용기,http://chungjinkorea.com/kr/product/view.php?idx=785,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T02:47:19.776644,products/idx_785.json
787,300g 크림사출용기,http://chungjinkorea.com/kr/product/view.php?idx=787,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:47:10.825240,products/idx_787.json
788,500g 크림사출용기,http://chungjinkorea.com/kr/product/view.php?idx=788,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:48:46.357760,products/idx_788.json
790,50g 크림사출용기,http://chungjinkorea.com/kr/product/view.php?idx=790,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:49:33.694339,products/idx_790.json
792,300g 크림사출용기,http://chungjinkorea.com/kr/product/view.php?idx=792,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:51:57.370701,products/idx_792.json
807,220g 원터치패드 크림용기,http://chungjinkorea.com/kr/product/view.php?idx=807,성공,3,성공,"additional_2,main",없음,3,완료,"Phone,Fax,Email",2025-10-18T02:48:36.344581,products/idx_807.json
812,150g 크림사출용기,http://chungjinkorea.com/kr/product/view.php?idx=812,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:52:39.430689,products/idx_812.json
813,200g 크림사출용기,http://chungjinkorea.com/kr/product/view.php?idx=813,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:51:12.950960,products/idx_813.json
831,500g 원터치패드 크림용기,http://chungjinkorea.com/kr/product/view.php?idx=831,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:48:01.185563,products/idx_831.json
854,300g 원터치패드 크림용기,http://chungjinkorea.com/kr/product/view.php?idx=854,성공,3,성공,"additional_2,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T02:49:54.174507,products/idx_854.json
877,50g 헤비 크림용기,http://chungjinkorea.com/kr/product/view.php?idx=877,성공,4,성공,"additional_3,additional_2,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T02:48:19.583571,products/idx_877.json
884,600g 크림용기,http://chungjinkorea.com/kr/product/view.php?idx=884,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T02:50:42.232093,products/idx_884.json
904,400g 크림용기,http://chungjinkorea.com/kr/product/view.php?idx=904,성공,3,성공,"additional_2,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T02:48:09.725827,products/idx_904.json
928,500g 원터치패드 크림용기,http://chungjinkorea.com/kr/product/view.php?idx=928,성공,3,성공,"additional_2,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T02:50:33.252706,products/idx_928.json
937,300g 크림사출용기,http://chungjinkorea.com/kr/product/view.php?idx=937,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T02:50:22.943060,products/idx_937.json
962,150g 이중 크림용기,http://chungjinkorea.com/kr/product/view.php?idx=962,성공,3,성공,"additional_2,main",없음,3,완료,"Phone,Fax,Email",2025-10-18T02:50:13.693761,products/idx_962.json
963,150g 무광 이중 크림용기,http://chungjinkorea.com/kr/product/view.php?idx=963,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T02:47:43.947451,products/idx_963.json
